"Client_ID","Company_Name","Company_Abbreviation","Active","Shipping_Account","UPS_Account","Contact_First_Name","Contact_Last_Name","Address","Address1","City","State","Zip","Country","Telephone","URL","Email","Upload_Path","Pixami_ID","URL_Notifications","URL_Notifications_Staging","Delimiter","Order_Check","Has_Header","Header_Check","Customer_Fields","Order_Fields","Pages_Path","Cover_Path","Rename_Images","Product_Alias","Product_Default","Cover_Alias","Cover_Default","Pages_As_Cover","Products_Fields","Cover_Fields","Order_Options","Product_Options","Has_Implicits","Implicit_Product_Options_Fields","Cover_Options","Logo_Placement","Payment_Terms","Auto_Invoice_Interval","Product_Cost","Product_Base_Labor","Product_Number_Pages_Included","Product_Extra_Page_Profit_Margin","Product_Option_Cost","Product_Profit_Margin","Product_Discount","Cover_Cost","Cover_Profit_Margin","Cover_Option_Cost","Order_Option_Cost","Ship_Handling_Fee","Ship_Handling_Rate","Ship_Packaging_Fee","Salt","shippment_type","cutoff_time"
"0000","None","No","0",,,,,,,,,,,,,,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"sh","23:59:59"
"0020","BigDot","BDD","1",,,"Jim","Wright","1890 S Milestone Dr., Suite B",,"Salt Lake City","UT","84104","US","8015551234","bigdotdirect.com","support@bigdotdirect.com","//Server01/FTP-Upload/ZIB/xml/",,,,"\t","Order#","1","Order#","9,7,8,10,11,12,13,14,15,16,NULL,NULL,23","Client_Order_ID:0,Number_Copies:1,Ship_Method:17,Number_Pages:4,Title:6,Pages_Images_Path:99,Cover_Images_Path:99","[6]/[Page###].jpg","[6]/cover.jpg",NULL,"Hard,004,Layflat,002,Soft,004",NULL,"Hard,003,Bonded,002,Soft,007",NULL,"0","2,Alias","2,Alias","Ship_To,Customer,0,NULL,","Size,8.75x11.25,99,Alias,8.75x11.25:8.75x11.25;11.25x8.75:11.25x8.75;8x6:8x6;12x12:12x12;4x6:4x6,ALL~Pad_Cover,0,99,Alias,Padded:1,ALL","0",NULL,"Crop_X,0,99,Alias,Photographic:0,003~Extra_Bind_Margin,0,99,Alias,0:0,ALL","Bottom",NULL,NULL,NULL,"004,3.75","004,20|002,10","004,.2|002,.5",NULL,"003,.50|002,.50|004,.4895",,NULL,NULL,NULL,NULL,NULL,".15",,,"sh","23:59:59"
"0037","Family Heritage Publishers","FHP","0","BigDot","0717RF",,"Family Heritage ","1154 Bateman Point Dr.",,"West Jordan","UT","84084","US","8888888888","none","info@familyheritagepublishers.com","FHP",,,,", ","app","1","app","24,23,NULL,25,26,27,29,28,30,NULL,NULL,4,NULL","Client_Order_ID:3,Number_Copies:5,Number_Pages:6,Notes:22","../Pages/[3]-P[Page###].jpg","../Covers/[3]-cover.jpg",NULL,NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"Color,NULL,16,Alias,BR:Brown;B:Black,002~Color,Brown,16,Alias,BL:Blue;BR:Brown,005","Bottom",NULL,NULL,NULL,NULL,"004,0","004,.44",NULL,"004,.61",NULL,"002,.0057",NULL,NULL,NULL,"0","0.1","3.8",,"tp","23:59:59"
"0052","Story Jumper","STJM","1","StoryJumper","Y16440","Peter","Weck","2625 Middlefield Road, #256",,"Palo Alto","CA","94306","US","6503301133",,"support@storyjumper.com","StoryJumper",,"http://www.storyjumper.com/xml/bigdotstatus","http://test.storyjumper.com/xml/bigdotstatus","\t","#orderId","1","#orderId","NULL,4,NULL,5,6,8,9,10,11,NULL,12,2,NULL","Client_Order_ID:0,Number_Copies:16,Ship_Method:13,Number_Pages:21,Item_ID:14","[0]-[14]/[0]-[14]-Pages.pdf","[0]-[14]/[0]-[14]-Cover.jpg",NULL,"HARDCOVER,004,SOFTCOVER,004,CALENDAR,006",NULL,"HARDCOVER,003,SOFTCOVER,007",NULL,"0","15,Alias","15,Alias",NULL,"Size,NULL,15,Alias,11.5x8.5:8.5x11.5;8.5x6.26:6.26x8.5;7.1x5.22:5.22x7.1;8.5x6.4:6.4x8.5,004~Size,NULL,15,Alias,CALENDAR:8.75x11.25,006","0","Logo_Page:0","Laminate,Gloss,17,Alias,GLOSSY:Gloss;MATTE:Matte,ALL~Extra_Bind_Margin,0,99,Alias,0:0,ALL","Bottom",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,".60","0","0","train57","tp","23:59:59"
"0054","MONTAGE","MNTG","0","Montage","X071W6","Aryk","Grosz","726 Main Street",,"Redwood City","CA","94063","US","8556492665","montagebook.com","billing@mixbook.com","Montage",,"http://www.montagebook.com/services/print/handleStatus/BDD","http://www.staging-montagebook.com/services/print/handleStatus/BDD","\t","Montage","1","Order ID","NULL,12,NULL,13,14,15,16,17,18,NULL,19,NULL,NULL","Client_Order_ID:0,Number_Copies:5,Ship_Method:11,Number_Pages:6,Item_ID:1,Client_Return_Label_URL:7,Client_Pack_Slip_URL:8,order_price:20","[1]/[1]-P[Page###].jpg","[1]/[1]-Cover.jpg",NULL,"Montage,001",NULL,"Montage,018",NULL,"0","3,Alias","4,Alias","Ship_To,Customer,NULL,NULL,NULL","Size,NULL,2,Alias,16.37x8.5:8.5x8.185;12.04x6.3:6.303x6.0215;23.26x12:12x11.6315;23.263x12:12x11.6315;12.043x6.303:6.303x6.0215,001","0",NULL,NULL,"Bottom",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","0","88b41fa5e3bb831dde05773b7747b0ba","tp","23:59:59"
"0057","Picaboo","PIC","0","RPI","8F01Y4","Picaboo Customer Service",,"15 Lebanon St.",,"Hanover","NH","03755","US","9193488608","http://www.rpiprint.com/",,"rpi",,"http://uos.rpiprint.com/uos/vendorservice/order/status","http://uos.staging.rpiprint.com/uos/vendorservice/order/status","0",NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,"0",NULL,NULL,"Bottom",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","0","b1gd0td1r3ct","tp","23:59:59"
"0058","Mixbook Photo Co","MXBK","1","Mixbook","Y8A076","David","Hill","2000 Broadway Street",,"Redwood City","CA","94063","US","6503537366","www.mixbook.com","billing@mixbook.com","Mixbook",,"https://www.mixbook.com/services/print/handleStatus/BDD","http://aws-staging.mxenvironments.com/services/print/handleStatus/BDD",NULL,NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,"0",NULL,NULL,"Bottom",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","0","ZcBY93qEtiGb4bVd","sh","23:59:59"
"0059","Photobucket","PHBU","0","PrintIO",,"Customer Service",,"79 Madison Avenue",,"New York","NY","10016","US","6465029209",,,"Photobucket",,"http://vendors.print.io/asn/bigdot/ ","http://vendors.print.io/asn/bigdot.test/",NULL,NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,"0",NULL,NULL,"Bottom",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","0","tgj948348954j9334","sh","23:59:59"
"0061","Customer Service","PIO","0","PrintIO",,"Customer Service",,"79 Madison Avenue",,"New York","NY","10016","US","6465029209",,,"PrintIO",,"http://vendors.print.io/asn/bigdot/ ","http://vendors.print.io/asn/bigdot.test/",NULL,NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,"0",NULL,NULL,"Bottom",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","0","tgj948348954j9334","sh","23:59:59"
"0064","Your Recent Photo Order","LFPI","0","Lifepics","E2Y212","Customer Service",,"1985 Lookout Drive",,"North Mankato","MN","56003","US","8013767681",,"support@lifepics.com","Lifepics",,"https://services.lifepics.com/net/Orders/UpdateOrderStatus.aspx","https://opie.lifepics.com/net/Orders/UpdateOrderStatus.aspx",NULL,NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,"0",NULL,NULL,"Bottom",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","0",,"tp","23:59:59"
