"Product_ID","Name","Description","ALT_SKU","EZ_Code","Status_Steps","Has_Cover","Has_Logo_Page","Spread_Pages","Print_Both_Sides","Printer_ID","Mounting_Method","Number_Pages_Included","Base_Labor","Print_Cost","Profit_Margin","Product_Options","Paper_Type_Guts","Paper_Type_Cover","Size_Guts","Size_Cover","Paper_Type_Guts_BDD","Paper_Type_Guts_SOC","Paper_Type_Cover_BDD","Paper_Type_Cover_SOC","Workflow_Name_SOC_Cover","Workflow_Name_BDD_Cover","Workflow_Name_SOC_Guts","Workflow_Name_BDD_Guts","Workflow_Name_EndCap","client_sku","workflow_block","workflow_cover","binding_type","cover_id","end_sheet","rough_cut_block","finish_cut_block","rough_cut_cover","finish_cut_cover","fastbook_program","crease_program","page_thickness","page_thickness_variance","Category","sla","board_id","endcap","endcap_cut_program","endcap_width","endcap_height","endcap_asset","endfly_asset","barcode_on_last_page","hardbound"
"001","HC_001","HC_001_6.00x6.00_LF",NULL,NULL,NULL,"1","1","1","0","5","Flush Mount","010","3.75",".145",".4",NULL,NULL,NULL,NULL,NULL,"C_MOHK_80lb_13x19","C_100lb_Gloss_13x19","C_100lb_Gloss_13x19","C_100lb_Gloss_13x19","15K_CVR_2up_ALL","15K_CVR_2up_ALL","7R_3up_S_C_MOHK_80lb_13x19","7R_3up_S_C_MOHK_80lb_13x19",NULL,NULL,NULL,NULL,"FC-2-80-BLACK",NULL,"BLACK","57","8",NULL,"W","FC-2-100-BLACK","6.25","0.00400","2","FM","2","31","0",NULL,NULL,NULL,,NULL,NULL,"1"
"002","HC_002","HC_002_8.50x11.00_PUR_80lb",NULL,NULL,NULL,"1","1","1","0","2","None",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"15K_CVR_2up_ALL","15K_CVR_2up_ALL","7R_2up_D_T_19x13S_MOHK_32lb","7R_2up_D_T_19x13S_MOHK_32lb",NULL,NULL,NULL,NULL,"PUR",NULL,"B","214","215",NULL,NULL,"PUR",NULL,NULL,NULL,"HC","10","11","0",NULL,NULL,NULL,,NULL,NULL,"1"
"003","HC_003","HC_003_11.00x8.50_PUR_80lb",NULL,NULL,NULL,"1","1","1","0","2","None",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"T_MOHK_80lb_12x18","T_MOHK_80lb_12x18","T_100lb_Gloss_ 13x19",NULL,"FHP_HC_CVR_Relevant (Landscape)","FHP_HC_CVR_Relevant (Landscape)","7R_2up_D_T_13x19L_MOHK_80lb","7R_2up_D_T_13x19L_MOHK_80lb",NULL,NULL,NULL,NULL,"PUR1",NULL,"D","212","213",NULL,NULL,"PUR",NULL,NULL,NULL,"HC","10","0","0",NULL,NULL,NULL,,NULL,NULL,"1"
"004","HC_004","HC_004_6.00x9.00_PUR_80lb",NULL,NULL,NULL,"1","1","0","1","1","None","020","3.75",".235",".65","HC_004_6.00x9.00_PUR_80lb",NULL,NULL,NULL,NULL,"T_13x19L_MOHK_80lb","T_13x19L_MOHK_80lb","T_13x19L_MOHK_80lb",NULL,"15K_CVR_2up_ALL","15K_CVR_2up_ALL","7R_4up_D_T_13x19L_MOHK_80lb","7R_4up_D_T_13x19L_MOHK_80lb",NULL,NULL,NULL,NULL,NULL,NULL,"G","202","203","400",NULL,"PUR",NULL,NULL,NULL,"HC","10","2","0",NULL,NULL,NULL,,NULL,NULL,"1"
"005","Note_05","Gift Note to be sent with order",NULL,,,"0","0","0","0","1","None","001",NULL,".00271",".715","Product_Type:Poster",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,"Note_005","Note_005",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"CB-Notes","2","6","0",NULL,NULL,NULL,,NULL,NULL,"0"
"006","HC_006","HC_006_12.00x12.00_PUR_80lb",,,,"1","0","0","1","1","None",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FHP_HC_CVR_Relevant","FHP_HC_CVR_Relevant","7R_1up_D_T_13x19L_MOHK_100lb","7R_1up_D_T_13x19L_MOHK_100lb",NULL,NULL,NULL,NULL,NULL,NULL,"A","TBD","TBD","402",NULL,"PUR",NULL,NULL,NULL,"HC","10","6","0",NULL,NULL,NULL,,NULL,NULL,"1"
"007","HC_007","HC_007_8.50x11.00_PUR_100lb",NULL,"IN","10|20|30|70|80|90","1","0","0","1","5","None","001",,,,,NULL,NULL,NULL,NULL,"T_19x13S_MOHK_100LB","T_19x13S_MOHK_100LB","T_19x13S_MOHK_100LB",NULL,"FHP_HC_CVR_Relevant","FHP_HC_CVR_Relevant","7R_2up_D_T_19x13S_MOHK_100LB","7R_2up_D_T_19x13S_MOHK_100LB",NULL,NULL,NULL,NULL,"PUR",NULL,"B","214","215","400",NULL,"PUR",NULL,NULL,NULL,"HC","10","6","0",NULL,NULL,NULL,,NULL,NULL,"1"
"008","HC_008","HC_008_11.00x8.50_PUR_100lb",NULL,"DVD","10|20|30|70|80|90","1","0","0","0","5","None","001","0",".235",".5","Size:7.25x9.75|Cover_Override:004|Product_Type:DVD",NULL,NULL,NULL,NULL,"T_MOHK_100lb_13x19","T_MOHK_100lb_13x19","T_MOHK_100lb_13x19",NULL,"FHP_HC_CVR_Relevant (Landscape)","FHP_HC_CVR_Relevant (Landscape)","7R_2up_D_T_13x19L_MOHK_100lb","7R_2up_D_T_13x19L_MOHK_100lb",NULL,NULL,NULL,NULL,"PUR",NULL,"D","209","210",NULL,NULL,"PUR",NULL,NULL,NULL,"HC","10","6","0",NULL,NULL,NULL,,NULL,NULL,"1"
"009","HC_009","HC_009_6.00x9.00_PUR_100lb",NULL,"CL2","10|20|30|70|80|90","0","1","0","0","5","None","013","3.75",".145",".65","Binding:Wire|Product_Type:Calendar",NULL,NULL,NULL,NULL,,,NULL,NULL,"FHP_HC_CVR_7R","FHP_HC_CVR_7R","7R_4up_D_T_13x19L_MOHK_100lb","7R_4up_D_T_13x19L_MOHK_100lb",NULL,NULL,NULL,NULL,NULL,NULL,"G","202","203",NULL,NULL,"PUR",NULL,NULL,NULL,"HC","10","6","0",NULL,NULL,NULL,,NULL,NULL,"1"
"010","HC_010","HC_010_12.00x12.00_PUR_100lb",NULL,"KLS","10|20|80|90","0","0","0","0","2","None","000","7.5","0","0","Product_Type:Swatch|Size:0x0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"FHP_HC_CVR_Relevant","FHP_HC_CVR_Relevant","7R_1up_D_T_13x19L_MOHK_100lb","7R_1up_D_T_13x19L_MOHK_100lb",NULL,NULL,NULL,NULL,NULL,NULL,"A",NULL,NULL,"400",NULL,"PUR",NULL,NULL,NULL,"HC","3","6","0",NULL,NULL,NULL,,NULL,NULL,"1"
