"ship_method_id","carrier","method","short_method","6","48","52","54","57","58","59","60","62","63","64","65","68","69","70","37","72","73","74","75","76","78","79"
"1","Will Call","Will Call",,NULL,"WILLCALL","WILLCALL",NULL,NULL,"Will Call",NULL,NULL,NULL,NULL,"PICKUP",NULL,NULL,"willcall",NULL,"WILLCALL",NULL,"Will Call",NULL,"WILLCALL","Will Call","Will Call",
"2","USPS","Priority Mail",,"Ground: 2-6 days",NULL,"PMD",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"3","USPS-HM","Priority Mail",,"Ground: 2-6 days","PMD",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"4","USPS-SJ","First-Class Package Service",,"USPS First Class: 2-6 weeks","FCPS","FCPS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"10","USPS","Media Mail",,NULL,NULL,"MM",NULL,"USPS_MM",NULL,"USPS_MM","USPS_MM","USPS_MM","USPS_MM",NULL,"MM","USPS_MM",NULL,"USPS_MM","USPS_MM",NULL,NULL,"USPS_MM",NULL,NULL,NULL,
"11","USPS","Priority Mail",,"Ground: 2-6 days","PMD",NULL,NULL,"USPS_PRI","MX_USPS_PRIORITY","USPS_PRI","USPS_PRI","USPS_PRI","USPS_PRI","USPS_PRI",NULL,"USPS_PRI",NULL,"USPS_PRI","USPS_PRI",NULL,NULL,"USPS_PRI",NULL,NULL,NULL,
"12","USPS","Priority Mail Intl",,NULL,"PMI","PMI",NULL,"USPS_PRI_ITL",NULL,"USPS_PRI_ITL","USPS_PRI_ITL","USPS_PRI_ITL","USPS_PRI_ITL","USPS_PRI_ITL",NULL,"USPS_PRI_ITL",NULL,"USPS_PRI_ITL","USPS_PRI_ITL",NULL,NULL,"USPS_PRI_ITL",NULL,NULL,NULL,
"13","USPS","Priority Mail Express",,NULL,"PMED","PMED",NULL,"USPS_EX",NULL,"USPS_EX","USPS_EX","USPS_EX","USPS_EX",NULL,NULL,"USPS_EX","usps_express","USPS_EX","USPS_EX",NULL,NULL,"USPS_EX",NULL,NULL,NULL,
"14","USPS","Priority Mail Express Intl",,"USPS Priority: 6-10 days","PMEI","PMEI",NULL,"USPS_EX_ITL",NULL,"USPS_EX_ITL","USPS_EX_ITL","USPS_EX_ITL","USPS_EX_ITL",NULL,NULL,"USPS_EX_ITL",NULL,"USPS_EX_ITL","USPS_EX_ITL",NULL,NULL,"USPS_EX_ITL",NULL,NULL,NULL,
"20","USPS","Priority Cubic",,NULL,NULL,NULL,"MX_USPS_PRIORITY_CUBIC",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"21","USPS","Priority Cubic 1",,NULL,NULL,NULL,"MX_USPS_PRIORITY_CUBIC_1",NULL,"MX_USPS_PRIORITY_CUBIC_1",NULL,NULL,NULL,NULL,NULL,"PR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"22","USPS","Priority Cubic 2",,NULL,NULL,NULL,"MX_USPS_PRIORITY_CUBIC_2",NULL,"MX_USPS_PRIORITY_CUBIC_2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"uspspr_max_6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"23","USPS","Priority Cubic 3",,NULL,NULL,NULL,"MX_USPS_PRIORITY_CUBIC_3",NULL,"MX_USPS_PRIORITY_CUBIC_3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"25","USPS","Global Express Guaranteed Envelopes",,NULL,"GEGE","GEGE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"26","USPS","Global Express Guaranteed",,NULL,"GEG","GEG",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
