"Id","Client_ID","Product_Id","max_pages","min_pages","spine_size","old_cut_program","cut_program","board_id"
"8","0054","040","011","009","6","52","37","18"
"9","0054","040","014","012","6","52","37","18"
"10","0054","040","017","015","8","52","37","18"
"11","0054","040","012","010","6","52","37","18"
"12","0054","040","015","013","6","52","37","18"
"13","0054","040","018","016","8","52","37","18"
"14","0054","040","021","019","8","52","37","18"
"15","0054","040","024","022","10","52","37","18"
"16","0054","040","027","025","12","53","38","18"
"17","0054","040","030","028","14","53","38","18"
"18","0054","040","033","031","16","53","38","18"
"19","0054","040","036","034","16","53","38","18"
"20","0054","040","039","037","18","54","39","18"
"21","0054","040","042","040","18","54","39","18"
"22","0058","068","008","000","6","25","182","10"
"23","0058","068","012","009","8","25","182","10"
"24","0058","068","016","013","10","25","182","10"
"25","0058","068","020","017","12","26","183","10"
"26","0058","068","024","021","14","26","183","10"
"27","0058","068","028","025","16","26","183","10"
"28","0058","069","008","000","6","248","55","28"
"29","0058","069","012","009","8","248","55","28"
"30","0058","069","016","013","10","248","55","28"
"31","0058","069","020","017","12","249","56","28"
"32","0058","069","024","021","14","249","56","28"
"33","0058","069","028","025","16","249","56","28"
"34","0058","070","008","000","6","61","43","21"
"35","0058","070","012","009","8","61","43","21"
"36","0058","070","016","013","10","61","43","21"
"37","0058","070","020","017","12","62","44","21"
"38","0058","070","024","021","14","62","44","21"
"39","0058","070","028","025","16","62","44","21"
"40","0058","071","008","000","6","48","34","17"
"41","0058","071","012","009","8","48","34","17"
"42","0058","071","016","013","10","48","34","17"
"43","0058","071","020","017","12","49","35","17"
"44","0058","071","024","021","14","49","35","17"
"45","0058","071","028","025","16","49","35","17"
"46","0058","068","032","029","18","27","184","10"
"48","0058","069","032","029","18","250","57","28"
"50","0058","070","032","029","18","63","45","21"
"51","0058","070","036","033","20","63","45","21"
"52","0058","071","032","029","18","50","36","17"
"53","0058","071","036","033","20","50","36","17"
"62","0058","108","010","001","2","999","170","6"
"63","0058","108","012","011","3","999","170","6"
"64","0058","108","014","013","4","999","170","6"
"65","0058","108","016","015","5","999","170","6"
"66","0058","108","018","017","6","999","170","6"
"67","0058","108","020","019","7","999","170","6"
"68","0058","108","022","021","8","999","170","6"
"69","0058","108","024","023","9","999","170","6"
"70","0058","108","026","025","10","999","170","6"
"71","0058","108","028","027","11","999","171","6"
"72","0058","108","030","029","12","999","171","6"
"73","0058","108","032","031","13","999","171","6"
"74","0058","108","034","033","14","999","171","6"
"75","0058","108","036","035","15","999","171","6"
"77","0058","108","039","037","16","999","171","6"
"78","0063","089","010","001","4","999",NULL,NULL
"79","0063","089","012","011","5","999",NULL,NULL
"80","0063","089","014","013","6","999",NULL,NULL
"81","0063","089","016","015","7","999",NULL,NULL
"82","0063","089","018","017","8","999",NULL,NULL
"83","0063","089","020","019","9","999",NULL,NULL
"84","0063","089","022","021","10","999",NULL,NULL
"85","0063","089","024","023","11","999",NULL,NULL
"86","0063","089","026","025","12","999",NULL,NULL
"87","0063","089","028","027","13","999",NULL,NULL
"88","0063","089","030","029","14","999",NULL,NULL
"89","0063","089","032","031","15","999",NULL,NULL
"90","0063","089","034","033","16","999",NULL,NULL
"91","0063","089","036","035","17","999",NULL,NULL
"92","0063","089","038","037","18","999",NULL,NULL
"93","0063","089","040","039","19","999",NULL,NULL
"94","0065","031","030","001","6","81","58","29"
"95","0065","031","040","031","8","81","58","29"
"96","0065","031","052","041","10","81","58","29"
"97","0065","031","062","053","12","82","59","29"
"98","0065","031","072","063","14","82","59","29"
"102","0058","124","015","000","6","25","182","10"
"103","0058","124","020","016","8","25","182","10"
"104","0058","124","025","021","10","25","182","10"
"105","0058","124","031","026","12","26","183","10"
"106","0058","124","036","032","14","26","183","10"
"107","0058","127","015","000","6","61","43","21"
"108","0058","127","020","016","8","61","43","21"
"109","0058","127","025","021","10","61","43","21"
"110","0058","127","031","026","12","62","44","21"
"111","0058","125","015","000","6","48","34","17"
"112","0058","125","020","016","8","48","34","17"
"113","0058","125","025","021","10","48","34","17"
"114","0058","125","031","026","12","49","35","17"
"115","0058","126","015","000","6","248","55","28"
"116","0058","126","020","016","8","248","55","28"
"117","0058","126","025","021","10","248","55","28"
"118","0058","126","031","026","12","249","56","28"
"119","0068","109","200","000","6","65","46","23"
"120","0068","103","200","000","6","81","58","29"
"121","0068","101","200","000","6","29","185","11"
"122","0058","125","036","032","14","49","35","17"
"123","0058","126","036","032","14","249","56","28"
"124","0058","127","036","032","14","62","44","21"
"125","0065","031","084","073","16","82","59","29"
"126","0065","031","090","085","18","83","60","29"
"127","0058","126","042","037","16","249","56","28"
"128","0058","124","042","037","16","26","183","10"
"129","0058","125","042","037","16","49","35","17"
"130","0058","127","042","037","16","62","44","21"
"135","0065","031","110","091","20","83","60","29"
"136","0058","069","036","033","20","250","57","28"
"137","0058","068","036","033","20","27","184","10"
"138","0069","128","012","000","7","58","22","20"
"139","0069","128","015","013","8","58","22","20"
"140","0069","128","017","016","9","58","22","20"
"141","0069","128","019","018","10","58","22","20"
"142","0069","128","021","020","11","59","23","20"
"143","0069","128","024","022","11","59","23","20"
"144","0069","128","026","025","12","59","23","20"
"145","0069","128","029","027","12","59","23","20"
"146","0069","128","031","030","13","59","23","20"
"147","0069","128","033","032","14","59","23","20"
"148","0069","128","036","034","15","59","23","20"
"149","0069","128","038","037","16","60","23","20"
"150","0069","128","041","039","17","60","24","20"
"151","0069","128","043","042","18","60","24","20"
"152","0069","128","046","044","19","60","24","20"
"153","0069","128","049","047","20","60","24","20"
"154","0069","128","052","050","21","60","24","20"
"155","0058","125","047","043","18","50","36","17"
"156","0058","125","052","048","20","50","36","17"
"157","0058","124","047","043","18","27","184","10"
"158","0058","124","052","048","20","27","184","10"
"159","0058","126","047","043","18","250","57","28"
"160","0058","126","052","048","20","250","57","28"
"161","0058","127","047","043","18","63","45","21"
"162","0058","127","052","048","20","63","45","21"
"163","0058","068","040","037","22","27","184","10"
"164","0058","068","044","041","24","28","184","10"
"165","0058","068","051","045","26","28","184","10"
"166","0058","071","040","037","22","50","36","17"
